グループ,試合日時,スタジアム,ホーム,スコア,アウェイ
グループA,6/12(金)4:00,エスタディオ・アステカ・メキシコシティー,MEX,2-0,RSA
グループA,6/12(金)11:00,エスタディオ・グアダラハラ,KOR,2-1,CZE
グループB,6/13(土)4:00,トロントスタジアム,CAN,1-1,BIH
グループD,6/13(土)10:00,ロサンゼルススタジアム,USA,4-1,PAR
グループB,6/14(日)4:00,サンフランシスコベイエリアスタジアム,QAT,1-1,SUI
グループC,6/14(日)7:00,ニューヨーク/ニュージャージースタジアム,BRA,1-1,MAR
グループC,6/14(日)10:00,ボストンスタジアム,HAI,0-1,SCO
グループD,6/14(日)13:00,BCプレイスバンクーバー,AUS,2-0,TUR
グループE,6/15(月)2:00,ヒューストンスタジアム,GER,7-1,CUW
グループF,6/15(月)5:00,ダラススタジアム,NED,2-2,JPN
グループE,6/15(月)8:00,フィラデルフィアスタジアム,CIV,1-0,ECU
グループF,6/15(月)11:00,エスタディオ・モンテレイ,SWE,5-1,TUN
グループH,6/16(火)1:00,アトランタスタジアム,ESP,0-0,CPV
グループG,6/16(火)4:00,シアトルスタジアム,BEL,1-1,EGY
グループH,6/16(火)7:00,マイアミスタジアム,KSA,1-1,URU
グループG,6/16(火)10:00,ロサンゼルススタジアム,IRN,2-2,NZL
グループI,6/17(水)4:00,ニューヨーク/ニュージャージースタジアム,FRA,3-1,SEN
グループI,6/17(水)7:00,ボストンスタジアム,IRQ,1-4,NOR
グループJ,6/17(水)10:00,カンザスシティースタジアム,ARG,3-0,ALG
グループJ,6/17(水)13:00,サンフランシスコベイエリアスタジアム,AUT,3-1,JOR
グループK,6/18(木)2:00,ヒューストンスタジアム,POR,1-1,CGO
グループL,6/18(木)5:00,ダラススタジアム,ENG,4-2,CRO
グループL,6/18(木)8:00,トロントスタジアム,GHA,1-0,PAN
グループK,6/18(木)11:00,エスタディオ・アステカ・メキシコシティー,UZB,1-3,COL
グループA,6/19(金)1:00,アトランタスタジアム,CZE,1-1,RSA
グループB,6/19(金)4:00,ロサンゼルススタジアム,SUI,4-1,BIH
グループB,6/19(金)7:00,BCプレイスバンクーバー,CAN,6-0,QAT
グループA,6/19(金)10:00,エスタディオ・グアダラハラ,MEX,1-0,KOR
グループD,6/20(土)4:00,シアトルスタジアム,USA,2-0,AUS
グループC,6/20(土)7:00,ボストンスタジアム,SCO,0-1,MAR
