国,選手名,参加者,得点
フランス,エムバペ,谷川 中田,4
イングランド,ハリー・ケイン,植木 林,2
イングランド,フィル・フォーデン,,
イングランド,ブカヨ・サカ,,
ポルトガル,クリスティアーノ・ロナウド,,2
スペイン,フェラン・トーレス,,
スペイン,ラミン・ヤマル,,1
オランダ,メンフィス・デバイ,,
ドイツ,カイ・ハヴァーツ,,2
ドイツ,ジャマル・ムシアラ,,1
ベルギー,ロメル・ルカク,,1
ノルウェー,アーリング・ハーランド,菅谷 河野,4
クロアチア,アンテ・ブディミル,,1
モロッコ,ソフィアン・ラヒミ,,1
メキシコ,ラウル・ヒメネス,,1
ブラジル,ヴィニシウスJR,橋本 坂本 米井,4
ブラジル,ラフィーニャ,,
ブラジル,チアゴ,辻本,
ブラジル,ネイマール,,
アルゼンチン,フリアン・アルバレス,,
アルゼンチン,ラウタロ・マルティネス,,
アルゼンチン,リオネル・メッシ,,5
ウルグアイ,ダルウィン・ヌニェス,,
日本,上田綺世,,2
韓国,ソン・フンミン,,
ー,その他(デンベレ),山口 山田,4
